iter	Passed	Remaining
1598	10208	8944
1599	10214	8937
1600	10221	8931
1601	10227	8925
1602	10234	8919
1603	10240	8912
1604	10247	8906
1605	10254	8900
1606	10260	8894
1607	10267	8888
1608	10273	8881
1609	10280	8875
1610	10288	8870
1611	10294	8863
1612	10300	8857
1613	10307	8851
1614	10313	8844
1615	10320	8839
1616	10327	8833
1617	10335	8827
1618	10341	8821
1619	10348	8815
1620	10356	8810
1621	10362	8803
1622	10369	8797
1623	10376	8792
1624	10383	8786
1625	10389	8779
1626	10397	8774
1627	10404	8768
1628	10411	8762
1629	10420	8758
1630	10427	8752
1631	10435	8747
1632	10442	8741
1633	10449	8735
1634	10455	8729
1635	10461	8722
1636	10468	8716
1637	10474	8709
1638	10480	8702
1639	10486	8695
1640	10493	8690
1641	10500	8684
1642	10506	8677
1643	10512	8671
1644	10518	8664
1645	10525	8658
1646	10531	8651
1647	10538	8645
1648	10543	8638
1649	10549	8631
1650	10555	8624
1651	10561	8618
1652	10568	8611
1653	10574	8605
1654	10581	8599
1655	10587	8592
1656	10593	8585
1657	10599	8579
1658	10606	8573
1659	10614	8568
1660	10620	8561
1661	10627	8555
1662	10633	8549
1663	10640	8543
1664	10646	8536
1665	10652	8529
1666	10659	8523
1667	10665	8517
1668	10671	8510
1669	10677	8503
1670	10684	8497
1671	10690	8491
1672	10697	8484
1673	10703	8478
1674	10711	8473
1675	10718	8467
1676	10724	8460
1677	10731	8454
